A-1	58	73	84	94	85	27	394	O
A-2	30	53	56	68	55	34	262	O
A-3	49	77	75	84	63	23	348	O
A-4	57	76	82	95	78	22	388	O
A-5	65	90	77	88	79	25	399	O
A-6	42	60	65	78	62	42	307	O
A-7	44	61	72	83	61	28	321	O
A-8	34	59	57	68	56	34	274	O
A-9	52	67	83	92	74	11	368	O
A-10	45	66	69	85	59	23	324	O
A-11	59	72	73	86	74	23	364	O
A-12	57	81	100	100	76		414	O
A-13	52	67	81	94	72	28	366	O
A-14	35	53	74	83	65	28	310	O
A-15	46	74	66	78	56	22	320	O
A-16	56	68	80	92	68	27	364	O
A-17	66	81	70	80	77	29	374	O
A-18	31	67	56	67	48	33	269	O
A-19	61	77	76	89	71	27	374	O
A-20	50	53	71	83	71	35	328	O
A-21	53	71	81	97	67	25	369	O
A-22	61	77	84	90	76		388	O
A-23	46	72	67	84	60	29	329	O
A-24	52	72	56	79	65	51	324	X
A-25	62	86	74	94	69	39	385	O
A-26	45	64	74	80	69	24	332	X
A-27	43	69	73	80	56	12	321	O
A-28	44	67	66	77	59	20	313	O
A-29	45	62	49	69	52	44	277	O
A-30	57	76	72	86	80	29	371	O
A-31	32	59	68	76	59	18	294	O
A-32	46	74	80	91	70	31	361	O
A-33	55	73	80	88	76	12	372	O
A-34	31	60	62	75	56	25	284	O
A-35	36	58	68	70	59	15	291	O
A-36	36	68	68	78	58	26	308	O
A-37	37	49	72	73	58	13	289	O
A-38	61	71	94	103	81	17	410	O
A-39	28	60	58	68	48	43	262	O
A-40	53	71	73	81	70	6	348	O
A-41	41	64	62	76	54	29	297	O
A-42	52	66	70	72	72	11	332	X
A-43	36	58	63	69	60	12	286	O
A-44	67	80	82	95	91	35	415	O
A-45	56	68	69	86	67	39	346	O
A-46	47	71	74	90	63	37	345	O
A-47	45	71	83	87	58	5	344	X
A-48	59	67	72	83	79	33	360	O
A-49	55	75	94	96	81	3	401	O
A-50	34	63	56	56	57	6	266	O
B-1	51	82	65	78	64	15	340	O
B-2	48	60	77	95	65	37	345	O
B-3	56	78	82	95	73	16	384	O
B-4	52	75	69	87	69	36	352	O
B-5	34	50	57	70	48	21	259	O
B-6	50	69	71	89	65	39	344	X
B-7	62	78	77	87	76	30	380	O
B-8	53	82	70	80	68	4	353	O
B-9	30	64	68	76	53	10	291	O
B-10	53	78	68	77	66	11	342	O
B-11	51	69	55	66	67	26	308	O
B-12	44	65	78	81	71	20	339	O
B-13	52	81	71	81	73	22	358	O
B-14	51	76	78	89	70	27	364	O
B-15	59	71	86	99	79	32	394	O
B-16	58	78	74	92	74	24	376	O
B-17	49	70	78	83	71	18	351	O
B-18	54	73	82	88	83	13	380	O
B-19	57	79	73	86	71	23	366	O
B-20	49	68	74	83	67	26	341	O
B-21	51	75	73	82	75	11	356	O
B-22	45	65	82	81	75	8	348	O
B-23	44	59	77	87	66	13	333	O
B-24	60	82	67	84	79	29	372	O
B-25	76	97	99	107	88	4	467	O
B-26	52	67	69	86	65	38	339	X
B-27	50	53	71	81	73	20	328	X
B-28	52	81	86	100	73	24	392	O
B-29	47	74	74	86	66	24	347	O
B-30	49	66	63	83	60	34	321	O
B-31	43	62	62	75	54	16	296	O
B-32	49	75	62	73	62	24	321	O
B-33	48	65	71	80	61	36	325	X
B-34	80	98	94	107	97	13	476	O
B-35	58	75	67	80	78	25	358	O
B-36	52	74	56	70	68	39	320	O
B-37	58	63	73	80	79	19	353	O
B-38	37	71	80	86	58	11	332	O
B-39	49	63	82	87	69	6	350	O
B-40	53	75	58	75	63	33	324	X
B-41	62	84	81	92	72	21	391	O
B-42	32	63	68	74	50	13	287	O
B-43	46	62	68	81	68	30	325	X
B-44	61	76	82	94	79	23	392	O
B-45	52	69	69	81	66	15	337	X
B-46	44	79	66	73	63	23	325	X
B-47	46	79	68	80	61	20	334	X
B-48	46	83	55	68	48	21	300	O
B-49	44	68	75	83	67	33	337	O
B-50	62	80	87	100	88	14	417	O
